frameID,p_error
1564,0.13314
1566,0.139102
1568,0.142973
1570,0.141823
1572,0.142023
1574,0.137558
1576,0.13846
1578,0.139664
1580,0.139341
1582,0.136927
1584,0.137252
1586,0.136167
1588,0.136709
1590,0.134443
1592,0.130459
1594,0.129171
1596,0.129283
1598,0.129335
1600,0.130076
1602,0.131335
1604,0.131827
1606,0.131833
1608,0.132229
1610,0.13164
1612,0.131187
1614,0.130467
1616,0.129743
1618,0.128927
1620,0.128356
1622,0.128146
1624,0.127139
1626,0.125421
1628,0.122537
1630,0.119248
1632,0.116296
1634,0.113733
1636,0.111512
1638,0.108794
1640,0.106971
1642,0.10503
1644,0.102832
1646,0.100442
1648,0.0984966
1650,0.0954762
1652,0.0947356
1654,0.0948654
1656,0.0956201
1658,0.0965834
1660,0.0978436
1662,0.100975
1664,0.104806
1666,0.107938
1668,0.10778
1670,0.106815
1672,0.105258
1674,0.103062
1676,0.102027
1678,0.101665
1680,0.102963
1682,0.103651
1684,0.105373
1686,0.108992
1688,0.113062
1690,0.112837
1692,0.110933
1694,0.107474
1696,0.10339
1698,0.101984
1700,0.10163
1702,0.100121
1704,0.0981552
1706,0.09619
1708,0.0945194
1710,0.0937849
1712,0.0938227
1714,0.0941935
1716,0.0953901
1718,0.0964829
1720,0.0978188
1722,0.0994405
1724,0.101062
1726,0.100786
1728,0.101158
1730,0.10093
1732,0.100221
1734,0.0986102
1736,0.0970105
1738,0.095001
1740,0.0938945
1742,0.0928276
1744,0.0930388
1746,0.0930494
1748,0.0932448
1750,0.0934826
1752,0.0934723
1755,0.0941354
1757,0.0952553
1759,0.0957129
1761,0.0961575
1763,0.0955421
1765,0.094756
1767,0.0937514
1769,0.0920659
1771,0.0909054
1773,0.0891795
1775,0.0839658
1777,0.0815285
1779,0.0803992
1781,0.0791542
1783,0.0784099
1785,0.0769013
1787,0.0759727
1789,0.0755297
1791,0.0746682
1793,0.0732224
1795,0.0728968
1797,0.0730856
1799,0.0756828
1801,0.076023
1803,0.0766383
1805,0.077726
1807,0.0782402
1809,0.0792776
1811,0.0798203
1813,0.0800523
1815,0.0799782
1817,0.0800062
1819,0.0805091
1821,0.0814023
1823,0.0837921
1825,0.0863215
1827,0.088379
1829,0.0897991
1831,0.0930885
1833,0.0951627
1835,0.0969279
1837,0.0992858
1839,0.102716
1841,0.105236
1843,0.109653
1845,0.115287
1847,0.118874
1849,0.123966
1851,0.127306
1853,0.130054
1855,0.132738
1857,0.135535
1859,0.136945
1861,0.137921
1863,0.138682
1865,0.139292
1867,0.1391
1869,0.13809
1871,0.13767
1873,0.137671
1875,0.137735
1877,0.137662
1879,0.137025
1881,0.13566
1883,0.133291
1885,0.130093
1887,0.126997
1889,0.124817
1891,0.126418
1893,0.127124
1895,0.134849
1897,0.140383
1899,0.14556
1901,0.149012
1903,0.15231
1905,0.157687
1907,0.163344
1909,0.169659
1911,0.175206
1913,0.179528
1915,0.183734
1917,0.186743
1919,0.188471
1921,0.188615
1923,0.187975
1925,0.188581
1927,0.188307
1929,0.190257
1931,0.194713
1933,0.199811
1935,0.203268
1937,0.205587
1939,0.207415
1941,0.207715
1943,0.207993
1945,0.20952
1947,0.212117
1949,0.214261
1951,0.215909
1953,0.217184
1955,0.218976
1957,0.219909
1959,0.221143
1961,0.222602
1963,0.224769
1965,0.225984
1967,0.225709
1969,0.226048
1971,0.225581
1973,0.225545
1975,0.225539
1977,0.226464
1979,0.227099
1981,0.226968
1983,0.225864
1985,0.224957
1987,0.223566
1989,0.223375
1991,0.222369
1993,0.220458
1995,0.218737
1997,0.217005
1999,0.214884
2001,0.21285
2003,0.2115
2005,0.210601
2007,0.209349
2009,0.209297
2011,0.209629
2013,0.209461
2015,0.209777
2017,0.210305
2019,0.210421
2021,0.210401
2023,0.210155
2025,0.20896
2027,0.207658
2029,0.208218
2031,0.207201
2033,0.206185
2035,0.204313
2037,0.203171
2039,0.202074
2041,0.199181
2043,0.198571
2045,0.1972
2047,0.196734
2049,0.196334
